"type","value","source"
"hash_sha256","2B4BC80AF0A0AFAC04DA73E7DA2779D3AB3ED8C460D2FB22D4034E1B2469F879","public"
"hash_sha256","33BC5FA9798219BA6D4E31F91EC23982596C409E0FD73E2C0C33C70538B7EC83","public"
"hash_sha256","82B649AE0A4CFE37C2A32EC2010BF7EF0E3236B540F85C8FBF15657D48D30D84","public"
"hash_sha256","8E565BA45C7624E8BC5DD92C1D0D3710F6A2B21D6C94742BB51FEC07B4843EBD","public"
"url","https://github.com/Rekrutacja-JS/FizzBuzz","public"
"url","https://litter.catbox.moe/eduway.ps1","public"
"url","https://raw.githubusercontent.com/coder9440/drop2/refs/heads/main/faktura_586507.pdf.lnk","public"
"url","https://raw.githubusercontent.com/coder9540/weather_widget/refs/heads/main/SkyWatchWeather.exe","public"
